f [Hz],h²Ω (SKA5),h²Ω (SKA10),h²Ω (SKA20),h²Ω (EPTA),h²Ω (NANOGrav),h²Ω (LISA),h²Ω (BDECIGO),h²Ω (DECIGO),h²Ω (BBO),h²Ω (ET)
1.e-9,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
1.0964781961431829e-9,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
1.2022644346174132e-9,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
1.3182567385564047e-9,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
1.445439770745928e-9,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
1.584893192461111e-9,1.,1.,3.4571363861937515e-15,1.,1.,1.,1.,1.,1.,1.
1.7378008287493762e-9,1.,1.,1.5026567634931627e-15,1.,1.,1.,1.,1.,1.,1.
1.9054607179632444e-9,1.,1.,1.6071273271039398e-15,3.7685699758032126e-9,1.,1.,1.,1.,1.,1.
2.089296130854041e-9,1.,1.,1.9845531112760315e-15,2.3334362788696405e-9,1.,1.,1.,1.,1.,1.
2.29086765276777e-9,1.,1.,2.601719550244072e-15,1.909888881244659e-9,1.,1.,1.,1.,1.,1.
2.511886431509582e-9,1.,1.,3.525997221599962e-15,1.6816649354294028e-9,1.,1.,1.,1.,1.,1.
2.7542287033381634e-9,1.,1.,4.867231081730048e-15,1.5336966492763743e-9,1.,1.,1.,1.,1.,1.
3.019951720402019e-9,1.,1.,6.718649197406285e-15,1.4581607916808751e-9,1.1794786923247989e-9,1.,1.,1.,1.,1.
3.3113112148259078e-9,1.,5.6051096135752924e-14,9.489638464599257e-15,1.399299673163833e-9,7.461173431349399e-10,1.,1.,1.,1.,1.
3.6307805477010177e-9,1.,4.820593602191707e-14,1.3716700846732203e-14,1.399299673163833e-9,5.778553625382093e-10,1.,1.,1.,1.,1.
3.981071705534969e-9,1.,5.6264885912477e-14,1.9826664927290905e-14,1.4095170610757464e-9,4.911210578232334e-10,1.,1.,1.,1.,1.
4.365158322401665e-9,1.,7.199797128697485e-14,2.865825000715994e-14,1.4759455536172193e-9,4.419338465358912e-10,1.,1.,1.,1.,1.
4.78630092322638e-9,1.,9.524217447750141e-14,4.1423774320328403e-14,1.5799047733912553e-9,4.1782246155305736e-10,1.,1.,1.,1.,1.
5.248074602497734e-9,1.,1.3147079897530644e-13,5.987557085700705e-14,1.7494668790915418e-9,4.125714474015983e-10,1.,1.,1.,1.,1.
5.754399373371567e-9,1.,1.8148022216028088e-13,8.654653141283313e-14,2.026467049818193e-9,4.244021393003318e-10,1.,1.,1.,1.,1.
6.309573444801943e-9,1.,2.505124430066893e-13,1.250977985242218e-13,2.4377207625198724e-9,4.55402845262514e-10,1.,1.,1.,1.,1.
6.918309709189363e-9,1.546038246845201e-12,3.6199033633271093e-13,1.8082133321966993e-13,3.0689086147945065e-9,5.116194905835628e-10,1.,1.,1.,1.,1.
7.58577575029185e-9,1.6322395727160353e-12,5.232352287609993e-13,2.613663464350149e-13,3.8670768525018885e-9,6.037161933219465e-10,1.,1.,1.,1.,1.
8.317637711026709e-9,2.008227185163533e-12,7.563050091064859e-13,3.7778931187172563e-13,5.097800119326086e-9,7.472401592952938e-10,1.,1.,1.,1.,1.
9.120108393559115e-9,2.6265144904498424e-12,1.0931933389768848e-12,5.460716963421334e-13,6.720209359115312e-9,9.552564906501496e-10,1.,1.,1.,1.,1.
1.e-8,3.551271208507407e-12,1.5801451292717114e-12,7.919678302820183e-13,8.858961272163544e-9,1.259273305849298e-9,1.,1.,1.,1.,1.
1.0964781961431851e-8,4.902118895560896e-12,2.284004613399797e-12,1.1986918179229669e-12,1.2032208417416243e-8,1.6600455211200408e-9,1.,1.,1.,1.,1.
1.202264434617413e-8,6.766807786644734e-12,3.3013911047752436e-12,1.8142934844257533e-12,1.6609071167823762e-8,2.2651155777316444e-9,1.,1.,1.,1.,1.
1.3182567385564074e-8,9.562337637525836e-12,4.771962001628976e-12,2.746044311317124e-12,2.2926900489733395e-8,3.1267299010076367e-9,1.,1.,1.,1.,1.
1.4454397707459279e-8,1.3821783122580498e-11,6.897583661642864e-12,4.156306256098293e-12,3.1647932672144154e-8,4.316088755014278e-9,1.,1.,1.,1.,1.
1.5848931924611143e-8,1.99785550280027e-11,9.970041746585924e-12,6.290824085863361e-12,4.5145519842870126e-8,5.957861002051168e-9,1.,1.,1.,1.,1.
1.7378008287493763e-8,2.8877797999511127e-11,1.4411094856512487e-11,9.521547557091918e-12,6.525512985188393e-8,8.22413757792261e-9,1.,1.,1.,1.,1.
1.9054607179632482e-8,4.1741117720060576e-11,2.161308137491173e-11,1.4411445407556774e-11,9.432235993310286e-8,1.1352470102493654e-8,1.,1.,1.,1.,1.
2.0892961308540408e-8,6.033427162796315e-11,3.271272242836477e-11,2.18126053028319e-11,1.4208393137926922e-7,1.628030570407256e-8,1.,1.,1.,1.,1.
2.2908676527677746e-8,8.720955575004559e-11,4.951270899842294e-11,3.301471411380051e-11,2.1949324461927453e-7,2.3532201344568265e-8,1.,1.,1.,1.,1.
2.511886431509582e-8,1.2605616027020013e-10,7.494051764511173e-11,4.9969791910848424e-11,3.646404478565853e-7,3.401437971663977e-8,1.,1.,1.,1.,1.
2.7542287033381633e-8,1.822065874020686e-10,1.1342706344539002e-10,7.563234062868062e-11,7.048352664013776e-7,4.9165737219684345e-8,1.,1.,1.,1.,1.
3.0199517204020194e-8,2.6336864792284616e-10,1.7167880775485921e-10,1.1447417990409953e-10,1.6106829771579713e-6,7.106611193537568e-8,1.,1.,1.,1.,1.
3.311311214825908e-8,3.927553719040051e-10,2.5984639059548214e-10,1.732636826493584e-10,4.403718874014669e-6,1.02721784543673e-7,1.,1.,1.,1.,1.
3.6307805477010175e-8,5.944593110290587e-10,3.932934273513441e-10,2.622451958194203e-10,1.,1.484781527014205e-7,1.,1.,1.,1.,1.
3.981071705534969e-8,8.997505769456623e-10,5.952736909036503e-10,3.969241659808362e-10,1.,2.1461622700151838e-7,1.,1.,1.,1.,1.
4.365158322401665e-8,1.3618276065230885e-9,9.009831907653673e-10,6.00769036196461e-10,1.,3.131609946403145e-7,1.,1.,1.,1.,1.
4.78630092322638e-8,2.061209492283961e-9,1.3636932430348554e-9,9.093007324473248e-10,1.,4.7398834600931483e-7,1.,1.,1.,1.,1.
5.248074602497723e-8,3.119766812429876e-9,2.0640332474118583e-9,1.3762823518069323e-9,1.,7.174103927300724e-7,1.,1.,1.,1.,1.
5.7543993733715665e-8,4.721958151451215e-9,3.1240407387665342e-9,2.083087634601622e-9,1.,1.085844569661639e-6,1.,1.,1.,1.,1.
6.30957344480193e-8,7.14697287477403e-9,4.72842700073305e-9,3.1528807208296583e-9,1.,1.6434922624647478e-6,1.,1.,1.,1.,1.
6.918309709189362e-8,1.0817381186882701e-8,7.156763874368994e-9,4.772078079989392e-9,1.,2.4875262005713933e-6,1.,1.,1.,1.,1.
7.585775750291836e-8,1.637276897402854e-8,1.0832200464453093e-8,7.222832456383811e-9,1.,3.79458786590361e-6,1.,1.,1.,1.,1.
8.317637711026709e-8,2.4781188648688267e-8,1.6395198858288906e-8,1.093219930992985e-8,1.,6.014016476866179e-6,1.,1.,1.,1.,1.
9.120108393559096e-8,3.75078468288418e-8,2.4815137652311648e-8,1.6546553235690877e-8,1.,9.531573773534179e-6,1.,1.,1.,1.,1.
1.e-7,5.6770423472415895e-8,3.7559230725149194e-8,2.5044221772728474e-8,1.,0.000015341904684799267,1.,1.,1.,1.,1.
1.0964781961431852e-7,8.592551302516208e-8,5.684819614666044e-8,3.790596357244421e-8,1.,0.000025461224150047867,1.,1.,1.,1.,1.
1.2022644346174132e-7,1.3005352676688606e-7,8.604322673108589e-8,5.737299754788612e-8,1.,0.000044654267133153607,1.,1.,1.,1.,1.
1.3182567385564074e-7,1.9684397833681994e-7,1.3023169367058208e-7,8.683754579510605e-8,1.,0.00008954887415956504,1.,1.,1.,1.,1.
1.445439770745928e-7,2.9793541759862707e-7,1.9711364485800804e-7,1.376060812283081e-7,1.,1.,1.,1.,1.,1.,1.
1.584893192461114e-7,4.5094350261394116e-7,3.087236751464703e-7,2.1809094137999662e-7,1.,1.,1.,1.,1.,1.,1.
1.7378008287493765e-7,6.933013465157827e-7,4.892940510912175e-7,3.4565084833059276e-7,1.,1.,1.,1.,1.,1.,1.
1.9054607179632483e-7,1.0988085844169875e-6,7.754788106861908e-7,5.478196764875653e-7,1.,1.,1.,1.,1.,1.,1.
2.0892961308540409e-7,1.7414942452603173e-6,1.2290510879543852e-6,8.682356759613922e-7,1.,1.,1.,1.,1.,1.,1.
2.29086765276777e-7,2.760082374023254e-6,1.947914702485811e-6,1.37606081228307e-6,1.,1.,1.,1.,1.,1.,1.
2.5118864315095823e-7,4.374435765221411e-6,3.08723675146471e-6,2.1809094137999713e-6,1.,1.,1.,1.,1.,1.,1.
2.754228703338163e-7,6.933013465157766e-6,4.8929405109121325e-6,3.456508483305897e-6,1.,1.,1.,1.,1.,1.,1.
3.019951720402019e-7,0.0000109880858441699,7.754788106861925e-6,5.478196764875664e-6,1.,1.,1.,1.,1.,1.,1.
3.311311214825908e-7,0.000017414942452603036,0.000012290510879543753,8.682356759613853e-6,1.,1.,1.,1.,1.,1.,1.
3.6307805477010174e-7,0.00002760082374023287,0.000019479147024858343,0.000013760608122830865,1.,1.,1.,1.,1.,1.,1.
3.981071705534969e-7,0.00004374435765221375,0.00003087236751464685,0.000021809094137999534,1.,1.,1.,1.,1.,1.,1.
4.365158322401665e-7,0.00007097413992214142,0.00005018517527886485,0.00003548607922095395,1.,1.,1.,1.,1.,1.,1.
4.78630092322638e-7,0.00011778775338142605,0.00008328665984026229,0.00005889223247138659,1.,1.,1.,1.,1.,1.,1.
5.248074602497734e-7,0.00019547901336830137,0.0001382214502351067,0.00009773677795928357,1.,1.,1.,1.,1.,1.,1.
5.754399373371567e-7,0.0003314771732917095,0.00023438971212006772,0.00016573876412949453,1.,1.,1.,1.,1.,1.,1.
6.309573444801942e-7,0.0005810903699438637,0.00041089350399947655,0.0002905454574491433,1.,1.,1.,1.,1.,1.,1.
6.918309709189363e-7,0.0010837556445445796,0.0007663306895286484,0.0005418780963713344,1.,1.,1.,1.,1.,1.,1.
7.585775750291836e-7,0.002362500508982318,0.00167053855478982,0.0011812490424861365,1.,1.,1.,1.,1.,1.,1.
8.317637711026709e-7,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
9.120108393559096e-7,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
1.e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
1.096478196143185e-6,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.
