f [Hz], h_c [1]
1.9870807315792565e-7, 1.7068314890414264e-13
1.7008574091943525e-7, 1.4231275542136064e-13
1.3823067594099873e-7, 1.1378329644281288e-13
1.1307209550114642e-7, 8.846419531043188e-14
9.615975570312793e-8, 7.172574170222732e-14
8.230870057503779e-8, 5.98037240455262e-14
7.183590878076275e-8, 4.9863345081342994e-14
6.269565373169187e-8, 4.335638732674537e-14
5.471838616033257e-8, 3.717508180198244e-14
4.389760621733326e-8, 2.972258769382155e-14
3.567609928270252e-8, 2.40987287587688e-14
2.78886176288316e-8, 1.9267653065498593e-14
2.356407600360698e-8, 1.6753305014381723e-14
1.940063332419105e-8, 1.4772194095210424e-14
1.5869634211670776e-8, 1.2844484617167135e-14
1.2567402012848246e-8, 1.132559931636509e-14
9.634999158060278e-9, 1.012694695054068e-14
7.1978024024725115e-9, 9.84765602602091e-15
6.042391536892428e-9, 9.84765602602091e-15
4.785060736139321e-9, 1.0269548899696928e-14
3.939607424522497e-9, 1.1013250775461587e-14
3.1810829150682037e-9, 1.2316808418440966e-14
2.6704468127047355e-9, 1.3968625575042362e-14
2.271024623624146e-9, 1.5841969268888387e-14
1.943901420896981e-9, 1.7966548603379178e-14
1.5901029609541676e-9, 2.247139182194254e-14
1.3176656438745895e-9, 2.850152647120018e-14
1.1205806866124665e-9, 3.5152855091568895e-14
9.780002772804193e-10, 4.275434478314857e-14
8.0520130590184e-10, 5.6550558691613935e-14
