f [Hz], h_c [1]
1.9530363976412364e-7, 3.370816311547984e-13
1.8664181625092732e-7, 3.056506059976717e-13
1.7530819579197974e-7, 2.863422539467069e-13
1.708221901892242e-7, 3.0707863423475614e-13
1.6645097811438657e-7, 2.596423992067319e-13
1.5804125979433293e-7, 2.387473831737457e-13
1.500564315111167e-7, 2.195339172125232e-13
1.4064029818054697e-7, 1.9906357579667684e-13
1.326720458918213e-7, 1.9357360429845497e-13
1.2678796790926297e-7, 1.7308661263716412e-13
1.1629248498662942e-7, 1.5120265005241729e-13
1.0416106938003953e-7, 1.278454911845571e-13
9.329518047224479e-8, 1.1272751307008272e-13
8.302301574601184e-8, 9.399031538731794e-14
7.781327046620008e-8, 8.642633834441736e-14
6.703792243438748e-8, 7.30755557068235e-14
6.323975728698802e-8, 8.52262306837279e-14
6.122344685595278e-8, 6.626165836710963e-14
5.627681235445542e-8, 5.524786273018751e-14
5.00805149268059e-8, 4.803824796746597e-14
4.5736825259478467e-8, 4.355894313202591e-14
3.991736455936721e-8, 3.734875929439024e-14
3.6455166851598466e-8, 3.3395928416457156e-14
3.416758271937567e-8, 4.7371193566039056e-14
3.265223169086845e-8, 1.9721648558209457e-13
3.140696481574649e-8, 9.054863941998179e-13
3.040559805720936e-8, 1.5549093223971144e-13
2.92460116486178e-8, 3.894885330105622e-14
2.8252439593489855e-8, 2.8768459937378523e-14
2.6308533228235034e-8, 2.268184955005559e-14
2.4498377151848983e-8, 2.0856502028024673e-14
2.2665406547627564e-8, 1.9448105906264586e-14
2.0969578955578495e-8, 1.788299756508401e-14
1.9150800862528194e-8, 1.6215505496686952e-14
1.6932136165788018e-8, 1.42979904170181e-14
1.4970508919956374e-8, 1.2784753054371108e-14
1.3236140740193666e-8, 1.1431670178398364e-14
1.1552001090760206e-8, 1.0079852934257671e-14
9.697642380541617e-9, 9.013044968576665e-15
8.088362824551911e-9, 8.17262764242592e-15
6.878575919195638e-9, 7.728058185906385e-15
5.6266453734130105e-9, 7.410574652030417e-15
4.6025715976763254e-9, 7.307672138972749e-15
3.9652213037076225e-9, 7.514926180176912e-15
3.3576007066721954e-9, 7.87349497631473e-15
2.8554000195297867e-9, 8.326430927148154e-15
2.412628118625032e-9, 8.929415767030198e-15
2.0651080481932315e-9, 9.84765602602091e-15
1.7907053886990402e-9, 1.1168333154662116e-14
1.5327683871366317e-9, 1.3208769069653044e-14
1.3119851782610996e-9, 1.562198923682646e-14
1.1450508503819159e-9, 1.856241487033362e-14
1.0123940536269789e-9, 2.1648889789262226e-14
9.126785597254932e-10, 2.5248569886057983e-14
8.069426317885713e-10, 2.903789339159919e-14
