f [Hz],h²Ω (SKA5),h²Ω (SKA10),h²Ω (SKA20),h²Ω (EPTA),h²Ω (1OGrav),h²Ω (LISA),h²Ω (BDECIGO),h²Ω (DECIGO),h²Ω (BBO),h²Ω (ET)
1E-09,1,1,1,1,1,1,1,1,1,1
1.09647819614318E-09,1,1,1,1,1,1,1,1,1,1
1.20226443461741E-09,1,1,1,1,1,1,1,1,1,1
1.3182567385564E-09,1,1,1,1,1,1,1,1,1,1
1.44543977074593E-09,1,1,1,1,1,1,1,1,1,1
1.58489319246111E-09,1,1,1.75963067802679E-16,1,1,1,1,1,1,1
1.73780082874938E-09,1,1,2.78882668285042E-16,1,1,1,1,1,1,1
1.90546071796324E-09,1,1,4.41999242460349E-16,1.60790814606536E-09,1,1,1,1,1,1
2.08929613085404E-09,1,1,7.00521590448384E-16,1.85190448179653E-09,1,1,1,1,1,1
2.29086765276777E-09,1,1,1.11025189987366E-15,2.07355448467783E-09,1,1,1,1,1,1
2.51188643150958E-09,1,1,1.75963067802681E-15,2.46424162157043E-09,1,1,1,1,1,1
2.75422870333816E-09,1,1,2.78882668285039E-15,2.78862735836257E-09,1,1,1,1,1,1
3.01995172040202E-09,1,1,4.41999242460355E-15,3.24706451111253E-09,1.07921290444766E-09,1,1,1,1,1
3.31131121482591E-09,1,7.00521590448378E-15,7.00521590448378E-15,3.70944790512026E-09,1.07921290444766E-09,1,1,1,1,1
3.63078054770102E-09,1,1.11025189987368E-14,1.11025189987368E-14,4.14776965362645E-09,1.07921290444766E-09,1,1,1,1,1
3.98107170553497E-09,1,1.75963067802679E-14,1.75963067802679E-14,3.60346031740601E-09,1.07921290444766E-09,1,1,1,1,1
4.36515832240167E-09,1,2.78882668285043E-14,2.78882668285043E-14,3.17322179591433E-09,1.07921290444766E-09,1,1,1,1,1
4.78630092322638E-09,1,4.41999242460351E-14,4.41999242460351E-14,2.6949934262916E-09,1.07921290444766E-09,1,1,1,1,1
5.24807460249773E-09,1,7.00521590448387E-14,7.00521590448387E-14,2.56143888209916E-09,1.08698148467882E-09,1,1,1,1,1
5.75439937337157E-09,1,1.11025189987367E-13,1.11025189987367E-13,2.93964182340291E-09,1.12956213153558E-09,1,1,1,1,1
6.30957344480194E-09,1,1.75963067802682E-13,1.75963067802682E-13,4.14938009424383E-09,1.24893077230714E-09,1,1,1,1,1
6.91830970918936E-09,2.7888266828504E-13,2.7888266828504E-13,2.7888266828504E-13,5.74544294778634E-09,1.38409332675317E-09,1,1,1,1,1
7.58577575029185E-09,4.41999242460356E-13,4.41999242460356E-13,4.41999242460356E-13,1.11427415437587E-08,1.53678553023416E-09,1,1,1,1,1
8.31763771102671E-09,7.00521590448381E-13,7.00521590448381E-13,7.00521590448381E-13,2.82984383585576E-08,1.78990702218287E-09,1,1,1,1,1
9.12010839355911E-09,1.11025189987368E-12,1.11025189987368E-12,1.11025189987368E-12,6.41175872031746E-08,2.91364299035934E-09,1,1,1,1,1
1E-08,1.7596306780268E-12,1.7596306780268E-12,1.7596306780268E-12,6.68004865474444E-08,4.86602958468478E-09,1,1,1,1,1
1.09647819614319E-08,2.78882668285041E-12,2.78882668285041E-12,2.78882668285041E-12,6.84818979579395E-08,8.46272210190124E-09,1,1,1,1,1
1.20226443461741E-08,4.41999242460353E-12,4.41999242460353E-12,4.41999242460353E-12,1.02115479780956E-07,1.41409324752846E-08,1,1,1,1,1
1.31825673855641E-08,7.00521590448382E-12,7.00521590448382E-12,7.00521590448382E-12,1.2742989228832E-07,2.33440877657849E-08,1,1,1,1,1
1.44543977074593E-08,1.11025189987367E-11,1.11025189987367E-11,1.11025189987367E-11,1.55581670539661E-07,3.79869276842515E-08,1,1,1,1,1
1.58489319246111E-08,1.7596306780268E-11,1.7596306780268E-11,1.7596306780268E-11,4.20786152665058E-07,6.10850691391676E-08,1,1,1,1,1
1.73780082874938E-08,2.78882668285042E-11,2.78882668285042E-11,2.78882668285042E-11,4.20011234319295E-07,8.99234981975424E-08,1,1,1,1,1
1.90546071796325E-08,4.41999242460353E-11,4.41999242460353E-11,4.41999242460353E-11,4.02871458048395E-07,1.22951386305052E-07,1,1,1,1,1
2.08929613085404E-08,7.00521590448384E-11,7.00521590448384E-11,7.00521590448384E-11,5.15272016342459E-07,1.96180887158633E-07,1,1,1,1,1
2.29086765276777E-08,1.11025189987368E-10,1.11025189987368E-10,1.11025189987368E-10,6.25666764477894E-07,2.41607113411272E-07,1,1,1,1,1
2.51188643150958E-08,1.75963067802681E-10,1.75963067802681E-10,1.75963067802681E-10,9.35576924831524E-07,2.0051932314405E-07,1,1,1,1,1
2.75422870333816E-08,2.78882668285039E-10,2.78882668285039E-10,2.78882668285039E-10,1.61118398060818E-06,5.09832842924869E-07,1,1,1,1,1
3.01995172040202E-08,4.41999242460355E-10,4.41999242460355E-10,4.41999242460355E-10,2.31176363800652E-05,2.29166034805224E-05,1,1,1,1,1
3.31131121482591E-08,7.00521590448378E-10,7.00521590448378E-10,7.00521590448378E-10,0.000169411677695,3.86185818152129E-05,1,1,1,1,1
3.63078054770102E-08,1.11025189987368E-09,1.11025189987368E-09,1.11025189987368E-09,1,6.25995234389613E-06,1,1,1,1,1
3.98107170553497E-08,1.75963067802679E-09,1.75963067802679E-09,1.75963067802679E-09,1,2.42910902073109E-06,1,1,1,1,1
4.36515832240167E-08,2.78882668285043E-09,2.78882668285043E-09,2.78882668285043E-09,1,4.18018571089934E-06,1,1,1,1,1
4.78630092322638E-08,4.41999242460351E-09,4.41999242460351E-09,4.41999242460351E-09,1,3.8177420399669E-06,1,1,1,1,1
5.24807460249772E-08,7.0052159044838E-09,7.0052159044838E-09,7.0052159044838E-09,1,7.18771894930819E-06,1,1,1,1,1
5.75439937337157E-08,1.11025189987367E-08,1.11025189987367E-08,1.11025189987367E-08,1,2.44944799930051E-05,1,1,1,1,1
6.30957344480193E-08,1.7596306780268E-08,1.7596306780268E-08,1.7596306780268E-08,1,2.70652863947912E-05,1,1,1,1,1
6.91830970918936E-08,2.7888266828504E-08,2.7888266828504E-08,2.7888266828504E-08,1,3.4790928029703E-05,1,1,1,1,1
7.58577575029184E-08,4.41999242460352E-08,4.41999242460352E-08,4.41999242460352E-08,1,5.61654491850926E-05,1,1,1,1,1
8.31763771102671E-08,7.00521590448381E-08,7.00521590448381E-08,7.00521590448381E-08,1,0.000200444239457,1,1,1,1,1
9.1201083935591E-08,1.11025189987367E-07,1.11025189987367E-07,1.11025189987367E-07,1,0.00023304842848,1,1,1,1,1
1E-07,1.7596306780268E-07,1.7596306780268E-07,1.7596306780268E-07,1,0.000151953345303,1,1,1,1,1
1.09647819614319E-07,2.78882668285041E-07,2.78882668285041E-07,2.78882668285041E-07,1,0.000637968704652,1,1,1,1,1
1.20226443461741E-07,4.41999242460353E-07,4.41999242460353E-07,4.41999242460353E-07,1,0.000332339271654,1,1,1,1,1
1.31825673855641E-07,7.00521590448382E-07,7.00521590448382E-07,7.00521590448382E-07,1,0.000464936174128,1,1,1,1,1
1.44543977074593E-07,1.11025189987367E-06,1.11025189987367E-06,1.11025189987367E-06,1,1,1,1,1,1,1
1.58489319246111E-07,1.7596306780268E-06,1.7596306780268E-06,1.7596306780268E-06,1,1,1,1,1,1,1
1.73780082874938E-07,2.78882668285042E-06,2.78882668285042E-06,2.78882668285042E-06,1,1,1,1,1,1,1
1.90546071796325E-07,4.41999242460354E-06,4.41999242460354E-06,4.41999242460354E-06,1,1,1,1,1,1,1
2.08929613085404E-07,7.00521590448384E-06,7.00521590448384E-06,7.00521590448384E-06,1,1,1,1,1,1,1
2.29086765276777E-07,1.11025189987366E-05,1.11025189987366E-05,1.11025189987366E-05,1,1,1,1,1,1,1
2.51188643150958E-07,1.75963067802681E-05,1.75963067802681E-05,1.75963067802681E-05,1,1,1,1,1,1,1
2.75422870333816E-07,2.78882668285039E-05,2.78882668285039E-05,2.78882668285039E-05,1,1,1,1,1,1,1
3.01995172040202E-07,4.41999242460355E-05,4.41999242460355E-05,4.41999242460355E-05,1,1,1,1,1,1,1
3.31131121482591E-07,7.00521590448378E-05,7.00521590448378E-05,7.00521590448378E-05,1,1,1,1,1,1,1
3.63078054770102E-07,0.000111025189987,0.000111025189987,0.000111025189987,1,1,1,1,1,1,1
3.98107170553497E-07,0.000175963067803,0.000175963067803,0.000175963067803,1,1,1,1,1,1,1
4.36515832240167E-07,0.000278882668285,0.000278882668285,0.000278882668285,1,1,1,1,1,1,1
4.78630092322638E-07,0.00044199924246,0.00044199924246,0.00044199924246,1,1,1,1,1,1,1
5.24807460249773E-07,0.000700521590448,0.000700521590448,0.000700521590448,1,1,1,1,1,1,1
5.75439937337157E-07,0.001110251899874,0.001110251899874,0.001110251899874,1,1,1,1,1,1,1
6.30957344480194E-07,0.001759630678027,0.001759630678027,0.001759630678027,1,1,1,1,1,1,1
6.91830970918936E-07,0.00278882668285,0.00278882668285,0.00278882668285,1,1,1,1,1,1,1
7.58577575029184E-07,0.004419992424604,0.004419992424604,0.004419992424604,1,1,1,1,1,1,1
8.31763771102671E-07,1,1,1,1,1,1,1,1,1,1
9.1201083935591E-07,1,1,1,1,1,1,1,1,1,1
1E-06,1,1,1,1,1,1,1,1,1,1
1.09647819614319E-06,1,1,1,1,1,1,1,1,1,1
1.20226443461741E-06,1,1,1,1,1,1,1,1,1,1
1.31825673855641E-06,1,1,1,1,1,1,1,1,1,1
1.44543977074593E-06,1,1,1,1,1,1,1,1,1,1
1.58489319246111E-06,1,1,1,1,1,1,1,1,1,1
1.73780082874938E-06,1,1,1,1,1,1,1,1,1,1
1.90546071796325E-06,1,1,1,1,1,1,1,1,1,1
2.08929613085404E-06,1,1,1,1,1,1,1,1,1,1
2.29086765276777E-06,1,1,1,1,1,1,1,1,1,1
2.51188643150958E-06,1,1,1,1,1,1,1,1,1,1
2.75422870333816E-06,1,1,1,1,1,1,1,1,1,1
3.01995172040202E-06,1,1,1,1,1,1,1,1,1,1
3.31131121482591E-06,1,1,1,1,1,1,1,1,1,1
3.63078054770102E-06,1,1,1,1,1,1,1,1,1,1
3.98107170553497E-06,1,1,1,1,1,1,1,1,1,1
4.36515832240167E-06,1,1,1,1,1,1,1,1,1,1
4.78630092322638E-06,1,1,1,1,1,1,1,1,1,1
5.24807460249773E-06,1,1,1,1,1,1,1,1,1,1
5.75439937337157E-06,1,1,1,1,1,1,1,1,1,1
6.30957344480194E-06,1,1,1,1,1,1,1,1,1,1
6.91830970918936E-06,1,1,1,1,1,1,1,1,1,1
7.58577575029184E-06,1,1,1,1,1,1,1,1,1,1
8.31763771102671E-06,1,1,1,1,1,1,1,1,1,1
9.1201083935591E-06,1,1,1,1,1,1,1,1,1,1
1E-05,1,1,1,1,1,1.2357560006056E-06,1,1,1,1
1.09647819614318E-05,1,1,1,1,1,9.3755492842061E-07,1,1,1,1
1.20226443461741E-05,1,1,1,1,1,7.11334314292853E-07,1,1,1,1
1.31825673855641E-05,1,1,1,1,1,5.3971752573407E-07,1,1,1,1
1.44543977074593E-05,1,1,1,1,1,4.09522946026508E-07,1,1,1,1
1.58489319246111E-05,1,1,1,1,1,3.10751211561731E-07,1,1,1,1
